treatment,concentration,unit,root length,unit
Control,0,g/L,3.541,cm
Control,0,g/L,4.583,cm
Control,0,g/L,2.764,cm
Control,0,g/L,2.368,cm
Control,0,g/L,4.785,cm
Control,0,g/L,5.394,cm
Control,0,g/L,5.078,cm
Control,0,g/L,6.926,cm
Control,0,g/L,5.897,cm
Control,0,g/L,2.963,cm
Control,0,g/L,5.752,cm
Control,0,g/L,4.303,cm
Control,0,g/L,6.553,cm
Control,0,g/L,4.052,cm
Control,0,g/L,4.524,cm
Control,0,g/L,5.448,cm
Control,0,g/L,5.859,cm
Control,0,g/L,4.953,cm
Control,0,g/L,4.279,cm
Control,0,g/L,6.933,cm
Control,0,g/L,5.85,cm
Control,0,g/L,5.184,cm
Control,0,g/L,2.641,cm
Control,0,g/L,4.909,cm
Control,0,g/L,4.857,cm
Control,0,g/L,4.125,cm
Control,0,g/L,2.018,cm
Control,0,g/L,1.435,cm
Control,0,g/L,1.945,cm
Control,0,g/L,4.947,cm
Control,0,g/L,4.338,cm
Control,0,g/L,5.445,cm
Control,0,g/L,5.987,cm
Control,0,g/L,4.008,cm
Control,0,g/L,3.207,cm
Control,0,g/L,1.467,cm
Control,0,g/L,4.612,cm
Control,0,g/L,0.62,cm
Control,0,g/L,3.008,cm
Control,0,g/L,2.133,cm
Control,0,g/L,4.206,cm
Control,0,g/L,3.713,cm
Control,0,g/L,2.015,cm
Control,0,g/L,2.646,cm
Control,0,g/L,6.115,cm
Control,0,g/L,6.147,cm
Control,0,g/L,5.315,cm
Control,0,g/L,5.585,cm
Control,0,g/L,1.396,cm
Control,0,g/L,2.728,cm
Control,0,g/L,5.277,cm
Control,0,g/L,5.2,cm
Control,0,g/L,4.776,cm
Control,0,g/L,3.964,cm
Control,0,g/L,5.145,cm
Control,0,g/L,4.38,cm
Control,0,g/L,4.12,cm
Control,0,g/L,4.28,cm
Control,0,g/L,,cm
Control,0,g/L,,cm
Spent Lees A,,,1.772,cm
Spent Lees A,,,1.3,cm
Spent Lees A,,,0.995,cm
Spent Lees A,,,2.266,cm
Spent Lees A,,,0.908,cm
Spent Lees A,,,1.136,cm
Spent Lees A,,,1.048,cm
Spent Lees A,,,1.955,cm
Spent Lees A,,,0.66,cm
Spent Lees A,,,0.772,cm
Spent Lees A,,,0.521,cm
Spent Lees A,,,2.466,cm
Spent Lees A,,,1.882,cm
Spent Lees A,,,1.322,cm
Spent Lees A,,,2.258,cm
Spent Lees A,,,1.213,cm
Spent Lees A,,,1.371,cm
Spent Lees A,,,1.306,cm
Spent Lees A,,,1.294,cm
Spent Lees A,,,0.873,cm
Spent Lees A,,,0.619,cm
Spent Lees A,,,1.028,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
Spent Lees A,,,,cm
RB,1,g/L,2.325,cm
RB,1,g/L,1.547,cm
RB,1,g/L,1.523,cm
RB,1,g/L,0.956,cm
RB,1,g/L,0.958,cm
RB,1,g/L,1.285,cm
RB,1,g/L,1.835,cm
RB,1,g/L,0.911,cm
RB,1,g/L,1.195,cm
RB,1,g/L,0.863,cm
RB,1,g/L,0.562,cm
RB,1,g/L,1.746,cm
RB,1,g/L,0.629,cm
RB,1,g/L,1.209,cm
RB,1,g/L,0.473,cm
RB,1,g/L,0.559,cm
RB,1,g/L,1.138,cm
RB,1,g/L,1.762,cm
RB,1,g/L,0.782,cm
RB,1,g/L,0.707,cm
RB,1,g/L,0.675,cm
RB,1,g/L,1.21,cm
RB,1,g/L,0.908,cm
RB,1,g/L,1.628,cm
RB,1,g/L,1.342,cm
RB,1,g/L,1.323,cm
RB,1,g/L,0.912,cm
RB,1,g/L,0.736,cm
RB,1,g/L,1.11,cm
RB,1,g/L,2.158,cm
RB,1,g/L,,cm
RB,1,g/L,,cm
RB,1,g/L,,cm
RB,1,g/L,,cm
RB,1,g/L,,cm
RB,1,g/L,,cm
RB,1,g/L,,cm
RB,1,g/L,,cm
RB,1,g/L,,cm
RB,1,g/L,,cm
RB,1,g/L,,cm
RB,1,g/L,,cm
RB,1,g/L,,cm
RB,1,g/L,,cm
RB,1,g/L,,cm
RB,1,g/L,,cm
RB,1,g/L,,cm
RB,1,g/L,,cm
RB,1,g/L,,cm
RB,1,g/L,,cm
RB,1,g/L,,cm
RB,1,g/L,,cm
RB,1,g/L,,cm
RB,1,g/L,,cm
RB,1,g/L,,cm
RB,1,g/L,,cm
RB,1,g/L,,cm
RB,1,g/L,,cm
RB,1,g/L,,cm
RB,4,g/L,1.685,cm
RB,4,g/L,2.149,cm
RB,4,g/L,1.76,cm
RB,4,g/L,2.254,cm
RB,4,g/L,0.809,cm
RB,4,g/L,0.786,cm
RB,4,g/L,1.818,cm
RB,4,g/L,2.109,cm
RB,4,g/L,0.814,cm
RB,4,g/L,0.848,cm
RB,4,g/L,0.346,cm
RB,4,g/L,0.865,cm
RB,4,g/L,0.939,cm
RB,4,g/L,1.193,cm
RB,4,g/L,1.805,cm
RB,4,g/L,1.339,cm
RB,4,g/L,0.598,cm
RB,4,g/L,0.594,cm
RB,4,g/L,1.261,cm
RB,4,g/L,1.169,cm
RB,4,g/L,1.784,cm
RB,4,g/L,1.272,cm
RB,4,g/L,0.94,cm
RB,4,g/L,1.823,cm
RB,4,g/L,1.564,cm
RB,4,g/L,1.392,cm
RB,4,g/L,1.304,cm
RB,4,g/L,0.93,cm
RB,4,g/L,2.195,cm
RB,4,g/L,2.36,cm
RB,4,g/L,,cm
RB,4,g/L,,cm
RB,4,g/L,,cm
RB,4,g/L,,cm
RB,4,g/L,,cm
RB,4,g/L,,cm
